"Plot Title: Tank_3"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20174087, SEN S/N: 20174087)","End Of File (LGR S/N: 20174087)"
1,03/03/23 01:00:00 PM,21.664,
2,03/03/23 01:05:00 PM,17.950,
3,03/03/23 01:10:00 PM,14.517,
4,03/03/23 01:15:00 PM,12.787,
5,03/03/23 01:20:00 PM,11.722,
6,03/03/23 01:25:00 PM,11.722,
7,03/03/23 01:30:00 PM,10.944,
8,03/03/23 01:35:00 PM,10.553,
9,03/03/23 01:40:00 PM,10.944,
10,03/03/23 01:45:00 PM,12.013,
11,03/03/23 01:50:00 PM,12.401,
12,03/03/23 01:55:00 PM,11.722,
13,03/03/23 02:00:00 PM,11.139,
14,03/03/23 02:05:00 PM,10.651,
15,03/03/23 02:10:00 PM,8.282,
16,03/03/23 02:15:00 PM,7.381,
17,03/03/23 02:20:00 PM,7.079,
18,03/03/23 02:25:00 PM,7.079,
19,03/03/23 02:30:00 PM,7.079,
20,03/03/23 02:35:00 PM,7.179,
21,03/03/23 02:40:00 PM,7.179,
22,03/03/23 02:45:00 PM,7.079,
23,03/03/23 02:50:00 PM,7.179,
24,03/03/23 02:55:00 PM,7.079,
25,03/03/23 03:00:00 PM,7.079,
26,03/03/23 03:05:00 PM,7.079,
27,03/03/23 03:10:00 PM,7.079,
28,03/03/23 03:15:00 PM,7.079,
29,03/03/23 03:20:00 PM,7.079,
30,03/03/23 03:25:00 PM,7.079,
31,03/03/23 03:30:00 PM,7.079,
32,03/03/23 03:35:00 PM,7.079,
33,03/03/23 03:40:00 PM,7.079,
34,03/03/23 03:45:00 PM,7.079,
35,03/03/23 03:50:00 PM,7.079,
36,03/03/23 03:55:00 PM,7.079,
37,03/03/23 04:00:00 PM,7.079,
38,03/03/23 04:05:00 PM,7.079,
39,03/03/23 04:10:00 PM,7.079,
40,03/03/23 04:15:00 PM,7.079,
41,03/03/23 04:20:00 PM,7.079,
42,03/03/23 04:25:00 PM,7.079,
43,03/03/23 04:30:00 PM,7.079,
44,03/03/23 04:35:00 PM,7.079,
45,03/03/23 04:40:00 PM,7.079,
46,03/03/23 04:45:00 PM,6.978,
47,03/03/23 04:50:00 PM,7.079,
48,03/03/23 04:55:00 PM,7.079,
49,03/03/23 05:00:00 PM,7.079,
50,03/03/23 05:05:00 PM,7.079,
51,03/03/23 05:10:00 PM,6.978,
52,03/03/23 05:15:00 PM,6.978,
53,03/03/23 05:20:00 PM,6.978,
54,03/03/23 05:25:00 PM,6.978,
55,03/03/23 05:30:00 PM,6.978,
56,03/03/23 05:35:00 PM,6.978,
57,03/03/23 05:40:00 PM,6.978,
58,03/03/23 05:45:00 PM,6.978,
59,03/03/23 05:50:00 PM,6.978,
60,03/03/23 05:55:00 PM,6.978,
61,03/03/23 06:00:00 PM,6.978,
62,03/03/23 06:05:00 PM,6.978,
63,03/03/23 06:10:00 PM,6.978,
64,03/03/23 06:15:00 PM,6.978,
65,03/03/23 06:20:00 PM,6.978,
66,03/03/23 06:25:00 PM,6.978,
67,03/03/23 06:30:00 PM,6.978,
68,03/03/23 06:35:00 PM,6.978,
69,03/03/23 06:40:00 PM,6.978,
70,03/03/23 06:45:00 PM,6.978,
71,03/03/23 06:50:00 PM,6.978,
72,03/03/23 06:55:00 PM,6.877,
73,03/03/23 07:00:00 PM,6.877,
74,03/03/23 07:05:00 PM,6.877,
75,03/03/23 07:10:00 PM,6.877,
76,03/03/23 07:15:00 PM,6.877,
77,03/03/23 07:20:00 PM,6.877,
78,03/03/23 07:25:00 PM,6.877,
79,03/03/23 07:30:00 PM,6.877,
80,03/03/23 07:35:00 PM,6.877,
81,03/03/23 07:40:00 PM,6.877,
82,03/03/23 07:45:00 PM,6.877,
83,03/03/23 07:50:00 PM,6.877,
84,03/03/23 07:55:00 PM,6.877,
85,03/03/23 08:00:00 PM,6.775,
86,03/03/23 08:05:00 PM,6.877,
87,03/03/23 08:10:00 PM,6.775,
88,03/03/23 08:15:00 PM,6.877,
89,03/03/23 08:20:00 PM,6.877,
90,03/03/23 08:25:00 PM,6.877,
91,03/03/23 08:30:00 PM,6.877,
92,03/03/23 08:35:00 PM,6.877,
93,03/03/23 08:40:00 PM,6.877,
94,03/03/23 08:45:00 PM,6.877,
95,03/03/23 08:50:00 PM,6.775,
96,03/03/23 08:55:00 PM,6.775,
