,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-01,351,,23.3029946139574,23.4464822996267,0.134002914341648,NaN,NaN,NaN,NaN,60,
,A02,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-01,351,,23.5683783517648,23.4464822996267,0.134002914341648,NaN,NaN,NaN,NaN,60,
,A03,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-01,351,,23.4680739331579,23.4464822996267,0.134002914341648,NaN,NaN,NaN,NaN,60,
,A04,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-02,353,,23.0638208789458,23.0972823717615,0.118524267535808,NaN,NaN,NaN,NaN,60,
,A05,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-02,353,,23.2289402619119,23.0972823717615,0.118524267535808,NaN,NaN,NaN,NaN,60,
,A06,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-02,353,,22.9990859744269,23.0972823717615,0.118524267535808,NaN,NaN,NaN,NaN,60,
,A07,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-03,355,,23.4752235474485,23.3139597632368,0.139953195681203,NaN,NaN,NaN,NaN,60,
,A08,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-03,355,,23.2242509273904,23.3139597632368,0.139953195681203,NaN,NaN,NaN,NaN,60,
,A09,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-03,355,,23.2424048148714,23.3139597632368,0.139953195681203,NaN,NaN,NaN,NaN,60,
,A10,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-04,357,,23.9870496404543,23.9678570546278,0.0857695710196163,NaN,NaN,NaN,NaN,60,
,A11,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-04,357,,24.0424044055616,23.9678570546278,0.0857695710196163,NaN,NaN,NaN,NaN,60,
,A12,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-04,357,,23.8741171178675,23.9678570546278,0.0857695710196163,NaN,NaN,NaN,NaN,60,
,B01,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-05,360,,24.1401810942125,23.9882661714415,0.375430182766035,NaN,NaN,NaN,NaN,60,
,B02,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-05,360,,24.2639323928639,23.9882661714415,0.375430182766035,NaN,NaN,NaN,NaN,60,
,B03,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-05,360,,23.5606850272482,23.9882661714415,0.375430182766035,NaN,NaN,NaN,NaN,60,
,B04,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-06,361,,23.3773411677557,23.8325346532307,0.396138908915264,NaN,NaN,NaN,NaN,60,
,B05,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-06,361,,24.0991852465142,23.8325346532307,0.396138908915264,NaN,NaN,NaN,NaN,60,
,B06,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-06,361,,24.021077545422,23.8325346532307,0.396138908915264,NaN,NaN,NaN,NaN,60,
,B07,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-07,364,,22.2684089351589,22.2411391822058,0.16179224037293,NaN,NaN,NaN,NaN,60,
,B08,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-07,364,,22.0674449433811,22.2411391822058,0.16179224037293,NaN,NaN,NaN,NaN,60,
,B09,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-07,364,,22.3875636680774,22.2411391822058,0.16179224037293,NaN,NaN,NaN,NaN,60,
,B10,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-08,371,,25.7378903925136,25.972789630008,0.20342923053194,NaN,NaN,NaN,NaN,60,
,B11,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-08,371,,26.0907007714912,25.972789630008,0.20342923053194,NaN,NaN,NaN,NaN,60,
,B12,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-08,371,,26.0897777260192,25.972789630008,0.20342923053194,NaN,NaN,NaN,NaN,60,
,C01,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-09,374,,22.8260549545544,22.7234768100723,0.102176137390094,NaN,NaN,NaN,NaN,60,
,C02,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-09,374,,22.6217074817115,22.7234768100723,0.102176137390094,NaN,NaN,NaN,NaN,60,
,C03,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-09,374,,22.722667993951,22.7234768100723,0.102176137390094,NaN,NaN,NaN,NaN,60,
,C04,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-10,378,,23.063033800619,23.0558011670114,0.0253283337555144,NaN,NaN,NaN,NaN,60,
,C05,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-10,378,,23.0767264729974,23.0558011670114,0.0253283337555144,NaN,NaN,NaN,NaN,60,
,C06,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-10,378,,23.0276432274179,23.0558011670114,0.0253283337555144,NaN,NaN,NaN,NaN,60,
,C07,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-11,381,,23.2582777907109,23.1644909604946,0.103619909911873,NaN,NaN,NaN,NaN,60,
,C08,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-11,381,,23.181941220978,23.1644909604946,0.103619909911873,NaN,NaN,NaN,NaN,60,
,C09,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-11,381,,23.0532538697949,23.1644909604946,0.103619909911873,NaN,NaN,NaN,NaN,60,
,C10,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-12,386,,23.2264970058956,23.304216379854,0.285904704495096,NaN,NaN,NaN,NaN,60,
,C11,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-12,386,,23.0652068993532,23.304216379854,0.285904704495096,NaN,NaN,NaN,NaN,60,
,C12,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-12,386,,23.6209452343133,23.304216379854,0.285904704495096,NaN,NaN,NaN,NaN,60,
,D01,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-13,392,,23.5183304055581,23.3810920212907,0.145752103428711,NaN,NaN,NaN,NaN,60,
,D02,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-13,392,,23.2281052105664,23.3810920212907,0.145752103428711,NaN,NaN,NaN,NaN,60,
,D03,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-13,392,,23.3968404477477,23.3810920212907,0.145752103428711,NaN,NaN,NaN,NaN,60,
,D04,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-14,394,,23.569260247467,23.4920739691503,0.284866185400622,NaN,NaN,NaN,NaN,60,
,D05,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-14,394,,23.7303931851052,23.4920739691503,0.284866185400622,NaN,NaN,NaN,NaN,60,
