,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-01,270,,24.8029352399534,24.8602298121208,0.100511956420161,NaN,NaN,NaN,NaN,60,
,A02,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-01,270,,24.8014662728823,24.8602298121208,0.100511956420161,NaN,NaN,NaN,NaN,60,
,A03,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-01,270,,24.9762879235268,24.8602298121208,0.100511956420161,NaN,NaN,NaN,NaN,60,
,A04,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-02,271,,24.4180453733516,24.377406592917,0.0913931000499759,NaN,NaN,NaN,NaN,60,
,A05,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-02,271,,24.2727422806217,24.377406592917,0.0913931000499759,NaN,NaN,NaN,NaN,60,
,A06,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-02,271,,24.4414321247776,24.377406592917,0.0913931000499759,NaN,NaN,NaN,NaN,60,
,A07,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-03,272,,24.1999507019916,23.9198300421202,0.286555920625778,NaN,NaN,NaN,NaN,60,
,A08,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-03,272,,23.932293833492,23.9198300421202,0.286555920625778,NaN,NaN,NaN,NaN,60,
,A09,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-03,272,,23.6272455908771,23.9198300421202,0.286555920625778,NaN,NaN,NaN,NaN,60,
,A10,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-04,273,,23.6617374915731,23.7550341948605,0.412486566700238,NaN,NaN,NaN,NaN,60,
,A11,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-04,273,,23.3971866113269,23.7550341948605,0.412486566700238,NaN,NaN,NaN,NaN,60,
,A12,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-04,273,,24.2061784816814,23.7550341948605,0.412486566700238,NaN,NaN,NaN,NaN,60,
,B01,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-05,275,,23.415401101334,23.4500013207042,0.0467402480384559,NaN,NaN,NaN,NaN,60,
,B02,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-05,275,,23.4314298622421,23.4500013207042,0.0467402480384559,NaN,NaN,NaN,NaN,60,
,B03,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-05,275,,23.5031729985366,23.4500013207042,0.0467402480384559,NaN,NaN,NaN,NaN,60,
,B04,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-06,276,,23.9276838483096,23.7501147742796,0.178089606205331,NaN,NaN,NaN,NaN,60,
,B05,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-06,276,,23.5715091606764,23.7501147742796,0.178089606205331,NaN,NaN,NaN,NaN,60,
,B06,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-06,276,,23.7511513138527,23.7501147742796,0.178089606205331,NaN,NaN,NaN,NaN,60,
,B07,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-07,277,,23.6317694492487,23.8016931964431,0.354203539189947,NaN,NaN,NaN,NaN,60,
,B08,SYBR,Cg_GAPDH_205_F-355_R (SR IDs: 1172/3),Unkn-07,277,,23.5644678771241,23.8016931964431,0.354203539189947,NaN,NaN,NaN,NaN,60,
