,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-01,351,,28.0691178581877,28.0066998645216,0.0592487140610843,NaN,NaN,NaN,NaN,60,
,A02,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-01,351,,27.9997479422837,28.0066998645216,0.0592487140610843,NaN,NaN,NaN,NaN,60,
,A03,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-01,351,,27.9512337930934,28.0066998645216,0.0592487140610843,NaN,NaN,NaN,NaN,60,
,A04,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-02,353,,29.9172642960153,29.873004713017,0.0417317019381915,NaN,NaN,NaN,NaN,60,
,A05,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-02,353,,29.8673780100553,29.873004713017,0.0417317019381915,NaN,NaN,NaN,NaN,60,
,A06,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-02,353,,29.8343718329805,29.873004713017,0.0417317019381915,NaN,NaN,NaN,NaN,60,
,A07,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-03,355,,30.49710594379,30.4654629547064,0.0333442221488765,NaN,NaN,NaN,NaN,60,
,A08,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-03,355,,30.4306446688012,30.4654629547064,0.0333442221488765,NaN,NaN,NaN,NaN,60,
,A09,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-03,355,,30.468638251528,30.4654629547064,0.0333442221488765,NaN,NaN,NaN,NaN,60,
,A10,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-04,357,,29.8543887805113,29.8150946343535,0.0423838638293698,NaN,NaN,NaN,NaN,60,
,A11,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-04,357,,29.7701815866961,29.8150946343535,0.0423838638293698,NaN,NaN,NaN,NaN,60,
,A12,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-04,357,,29.8207135358531,29.8150946343535,0.0423838638293698,NaN,NaN,NaN,NaN,60,
,B01,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-05,360,,30.4435693653467,30.3707756180155,0.121308903926801,NaN,NaN,NaN,NaN,60,
