,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-01,201,,29.289067795767,29.3474374068002,0.0716619690512286,NaN,NaN,NaN,NaN,60,
,A02,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-01,201,,29.3258267480589,29.3474374068002,0.0716619690512286,NaN,NaN,NaN,NaN,60,
,A03,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-01,201,,29.4274176765747,29.3474374068002,0.0716619690512286,NaN,NaN,NaN,NaN,60,
,A04,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-02,202,,26.7467984763391,26.6124656740131,0.116701947905251,NaN,NaN,NaN,NaN,60,
,A05,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-02,202,,26.5360597756062,26.6124656740131,0.116701947905251,NaN,NaN,NaN,NaN,60,
,A06,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-02,202,,26.5545387700941,26.6124656740131,0.116701947905251,NaN,NaN,NaN,NaN,60,
,A07,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-03,203,,28.2985820536322,28.2245875844776,0.0778756353130434,NaN,NaN,NaN,NaN,60,
,A08,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-03,203,,28.231842225299,28.2245875844776,0.0778756353130434,NaN,NaN,NaN,NaN,60,
,A09,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-03,203,,28.1433384745016,28.2245875844776,0.0778756353130434,NaN,NaN,NaN,NaN,60,
,A10,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-04,204,,27.9878187305863,27.8631740173514,0.147132838474412,NaN,NaN,NaN,NaN,60,
,A11,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-04,204,,27.7008724441213,27.8631740173514,0.147132838474412,NaN,NaN,NaN,NaN,60,
,A12,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-04,204,,27.9008308773467,27.8631740173514,0.147132838474412,NaN,NaN,NaN,NaN,60,
,B01,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-05,205,,26.9194713847528,26.8670521378605,0.162838789818836,NaN,NaN,NaN,NaN,60,
,B02,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-05,205,,26.9972255006567,26.8670521378605,0.162838789818836,NaN,NaN,NaN,NaN,60,
,B03,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-05,205,,26.6844595281719,26.8670521378605,0.162838789818836,NaN,NaN,NaN,NaN,60,
,B04,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-06,207,,28.3400468059461,28.2827522435693,0.0748243104023479,NaN,NaN,NaN,NaN,60,
,B05,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-06,207,,28.1980989156652,28.2827522435693,0.0748243104023479,NaN,NaN,NaN,NaN,60,
,B06,SYBR,Cg_HSP70_F/R (SR IDs: 598/9),Unkn-06,207,,28.3101110090967,28.2827522435693,0.0748243104023479,NaN,NaN,NaN,NaN,60,
