,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,cGAS,Unkn-01,12,,30.6798151019223,30.8409692101958,0.210531079710759,NaN,NaN,NaN,NaN,60,
,A02,SYBR,cGAS,Unkn-01,12,,30.7639221844333,30.8409692101958,0.210531079710759,NaN,NaN,NaN,NaN,60,
,A03,SYBR,cGAS,Unkn-01,12,,31.0791703442319,30.8409692101958,0.210531079710759,NaN,NaN,NaN,NaN,60,
,A04,SYBR,cGAS,Unkn-02,14,,38.2351947205616,38.5576580609974,0.7502227081005,NaN,NaN,NaN,NaN,60,
,A05,SYBR,cGAS,Unkn-02,14,,38.0225800606622,38.5576580609974,0.7502227081005,NaN,NaN,NaN,NaN,60,
,A06,SYBR,cGAS,Unkn-02,14,,39.4151994017685,38.5576580609974,0.7502227081005,NaN,NaN,NaN,NaN,60,
,A07,SYBR,cGAS,Unkn-03,15,,27.0588673031859,26.6350630216062,0.384238353152612,NaN,NaN,NaN,NaN,60,
,A08,SYBR,cGAS,Unkn-03,15,,26.5368778989777,26.6350630216062,0.384238353152612,NaN,NaN,NaN,NaN,60,
,A09,SYBR,cGAS,Unkn-03,15,,26.3094438626551,26.6350630216062,0.384238353152612,NaN,NaN,NaN,NaN,60,
,A10,SYBR,cGAS,Unkn-04,18,,26.0315530567301,25.9721840919187,0.0529462351264396,NaN,NaN,NaN,NaN,60,
,A11,SYBR,cGAS,Unkn-04,18,,25.929858473212,25.9721840919187,0.0529462351264396,NaN,NaN,NaN,NaN,60,
,A12,SYBR,cGAS,Unkn-04,18,,25.955140745814,25.9721840919187,0.0529462351264396,NaN,NaN,NaN,NaN,60,
,B01,SYBR,cGAS,Unkn-05,19,,30.8417964212718,30.8273148684629,0.109461698322015,NaN,NaN,NaN,NaN,60,
,B02,SYBR,cGAS,Unkn-05,19,,30.9288149623452,30.8273148684629,0.109461698322015,NaN,NaN,NaN,NaN,60,
,B03,SYBR,cGAS,Unkn-05,19,,30.7113332217717,30.8273148684629,0.109461698322015,NaN,NaN,NaN,NaN,60,
,B04,SYBR,cGAS,Unkn-06,24,,29.8551724948086,29.9963991236126,0.216213142324492,NaN,NaN,NaN,NaN,60,
,B05,SYBR,cGAS,Unkn-06,24,,30.2453082663486,29.9963991236126,0.216213142324492,NaN,NaN,NaN,NaN,60,
,B06,SYBR,cGAS,Unkn-06,24,,29.8887166096806,29.9963991236126,0.216213142324492,NaN,NaN,NaN,NaN,60,
,B07,SYBR,cGAS,Unkn-07,25,,34.8779725082779,34.9227421053434,0.101292924479226,NaN,NaN,NaN,NaN,60,
,B08,SYBR,cGAS,Unkn-07,25,,34.8515479589499,34.9227421053434,0.101292924479226,NaN,NaN,NaN,NaN,60,
,B09,SYBR,cGAS,Unkn-07,25,,35.0387058488023,34.9227421053434,0.101292924479226,NaN,NaN,NaN,NaN,60,
,B10,SYBR,cGAS,Unkn-08,29,,37.2571165827042,37.9270710036283,1.20608207533088,NaN,NaN,NaN,NaN,60,
,B11,SYBR,cGAS,Unkn-08,29,,39.3194056644578,37.9270710036283,1.20608207533088,NaN,NaN,NaN,NaN,60,
,B12,SYBR,cGAS,Unkn-08,29,,37.2046907637228,37.9270710036283,1.20608207533088,NaN,NaN,NaN,NaN,60,
,C01,SYBR,cGAS,Unkn-09,39,,28.5438795031991,28.4415602252158,0.119860358114346,NaN,NaN,NaN,NaN,60,
,C02,SYBR,cGAS,Unkn-09,39,,28.3096876414009,28.4415602252158,0.119860358114346,NaN,NaN,NaN,NaN,60,
,C03,SYBR,cGAS,Unkn-09,39,,28.4711135310473,28.4415602252158,0.119860358114346,NaN,NaN,NaN,NaN,60,
,C04,SYBR,cGAS,Unkn-10,40,,36.2825044066393,35.8598875046168,0.546925002731042,NaN,NaN,NaN,NaN,60,
,C05,SYBR,cGAS,Unkn-10,40,,36.054994080648,35.8598875046168,0.546925002731042,NaN,NaN,NaN,NaN,60,
,C06,SYBR,cGAS,Unkn-10,40,,35.2421640265629,35.8598875046168,0.546925002731042,NaN,NaN,NaN,NaN,60,
,C07,SYBR,cGAS,Unkn-11,43,,29.4022876868309,29.3843842621147,0.0358187725179384,NaN,NaN,NaN,NaN,60,
,C08,SYBR,cGAS,Unkn-11,43,,29.3431434648785,29.3843842621147,0.0358187725179384,NaN,NaN,NaN,NaN,60,
,C09,SYBR,cGAS,Unkn-11,43,,29.4077216346348,29.3843842621147,0.0358187725179384,NaN,NaN,NaN,NaN,60,
,C10,SYBR,cGAS,Unkn-12,49,,28.4819837146387,28.3531813936738,0.113943960467116,NaN,NaN,NaN,NaN,60,
,C11,SYBR,cGAS,Unkn-12,49,,28.2655273255781,28.3531813936738,0.113943960467116,NaN,NaN,NaN,NaN,60,
,C12,SYBR,cGAS,Unkn-12,49,,28.3120331408046,28.3531813936738,0.113943960467116,NaN,NaN,NaN,NaN,60,
,D01,SYBR,cGAS,Unkn-13,53,,29.0188098674254,28.9265169768273,0.178369586269873,NaN,NaN,NaN,NaN,60,
,D02,SYBR,cGAS,Unkn-13,53,,29.0398296989187,28.9265169768273,0.178369586269873,NaN,NaN,NaN,NaN,60,
