,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-01,12,,32.3666403799527,32.4750545090059,0.0938984908007093,NaN,NaN,NaN,NaN,60,
,A02,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-01,12,,32.5279542706331,32.4750545090059,0.0938984908007093,NaN,NaN,NaN,NaN,60,
,A03,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-01,12,,32.5305688764319,32.4750545090059,0.0938984908007093,NaN,NaN,NaN,NaN,60,
,A04,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-02,14,,NaN,0,0,NaN,NaN,0,0,60,
,A05,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-02,14,,NaN,0,0,NaN,NaN,0,0,60,
,A06,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-02,14,,NaN,0,0,NaN,NaN,0,0,60,
,A07,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-03,15,,27.1218141705804,27.144013999023,0.0915965742456458,NaN,NaN,NaN,NaN,60,
,A08,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-03,15,,27.0655577402222,27.144013999023,0.0915965742456458,NaN,NaN,NaN,NaN,60,
,A09,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-03,15,,27.2446700862665,27.144013999023,0.0915965742456458,NaN,NaN,NaN,NaN,60,
,A10,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-04,18,,29.2251241768124,28.6803523455873,0.472300229497658,NaN,NaN,NaN,NaN,60,
,A11,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-04,18,,28.3859381365482,28.6803523455873,0.472300229497658,NaN,NaN,NaN,NaN,60,
,A12,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-04,18,,28.4299947234013,28.6803523455873,0.472300229497658,NaN,NaN,NaN,NaN,60,
,B01,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-05,19,,31.6387002772294,31.5683883824426,0.173846335341908,NaN,NaN,NaN,NaN,60,
,B02,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-05,19,,31.6960658665074,31.5683883824426,0.173846335341908,NaN,NaN,NaN,NaN,60,
,B03,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-05,19,,31.3703990035911,31.5683883824426,0.173846335341908,NaN,NaN,NaN,NaN,60,
,B04,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-06,24,,31.1146068869939,31.4518655172924,0.332145805847034,NaN,NaN,NaN,NaN,60,
,B05,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-06,24,,31.778650763594,31.4518655172924,0.332145805847034,NaN,NaN,NaN,NaN,60,
,B06,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-06,24,,31.4623389012893,31.4518655172924,0.332145805847034,NaN,NaN,NaN,NaN,60,
,B07,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-07,25,,NaN,0,0,NaN,NaN,0,0,60,
,B08,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-07,25,,38.7804537187413,38.6554066284262,0.176843291058852,NaN,NaN,NaN,NaN,60,
,B09,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-07,25,,38.5303595381112,38.6554066284262,0.176843291058852,NaN,NaN,NaN,NaN,60,
,B10,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-08,29,,NaN,0,0,NaN,NaN,0,0,60,
,B11,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-08,29,,NaN,0,0,NaN,NaN,0,0,60,
,B12,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-08,29,,NaN,0,0,NaN,NaN,0,0,60,
,C01,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-09,39,,30.2380060922857,30.1738890615745,0.0846259609715825,NaN,NaN,NaN,NaN,60,
,C02,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-09,39,,30.0779689141544,30.1738890615745,0.0846259609715825,NaN,NaN,NaN,NaN,60,
,C03,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-09,39,,30.2056921782834,30.1738890615745,0.0846259609715825,NaN,NaN,NaN,NaN,60,
,C04,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-10,40,,34.1286711592118,34.3886450158293,0.282488123954625,NaN,NaN,NaN,NaN,60,
,C05,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-10,40,,34.348016189936,34.3886450158293,0.282488123954625,NaN,NaN,NaN,NaN,60,
,C06,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-10,40,,34.6892476983402,34.3886450158293,0.282488123954625,NaN,NaN,NaN,NaN,60,
,C07,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-11,43,,32.4817706540936,32.430425794863,0.0482131466418344,NaN,NaN,NaN,NaN,60,
,C08,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-11,43,,32.4233889919354,32.430425794863,0.0482131466418344,NaN,NaN,NaN,NaN,60,
,C09,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-11,43,,32.3861177385599,32.430425794863,0.0482131466418344,NaN,NaN,NaN,NaN,60,
,C10,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-12,49,,29.67870718094,29.8557500069631,0.194123667025697,NaN,NaN,NaN,NaN,60,
,C11,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-12,49,,29.8252089304374,29.8557500069631,0.194123667025697,NaN,NaN,NaN,NaN,60,
,C12,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-12,49,,30.0633339095119,29.8557500069631,0.194123667025697,NaN,NaN,NaN,NaN,60,
,D01,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-13,53,,29.3158603472013,29.2220045313156,0.0853150044907631,NaN,NaN,NaN,NaN,60,
,D02,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-13,53,,29.1491543480177,29.2220045313156,0.0853150044907631,NaN,NaN,NaN,NaN,60,
,D03,SYBR,Cg_DNMT1_F (SR IDs: 1510/1),Unkn-13,53,,29.2009988987279,29.2220045313156,0.0853150044907631,NaN,NaN,NaN,NaN,60,
