,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
,1,5.64914639743256,-3.55120443411488,-17.322716294836,-18.8992765708117,-196.561882885901,-2.66797448451962,-33.0675122580142,-29.0112611357081,-15.7447021634425,-112.068660391389,-34.6932541658525,-82.8990087678249,-7.40036911559673,-36.1469355718373,-20.9878020685092,-7.7798773443601,-17.6744976508444,-17.2141867551477,-13.666068061435,15.1872768071044,-2.24759360192093,-43.8543032078951,-50.5596620627866,-330.591002928749,-14.319863172951,-431.569393240672,-7.0058370982515,-0.0031134247819864,-7.06782225313327,0.0124941287340334,-13.9128214839684,-27.8375939701209,-35.8382754051499,-283.869525501253,-43.9990462106498,-55.7953135347416,-337.566976037971,2.77601171201968,4.33882592088776,-33.906560002376,-9.97191661476427,-364.63163487523,-16.9541894358017,-31.073548619258,-386.180855157141,-64.8182708939148,-95.906850110071,-65.895048446022
,2,14.1814839567833,4.92282315308421,2.17693868851893,8.28122435116074,-6.22580060452219,8.90580039602537,-2.05323982045138,5.75737254532942,13.2450627732669,-50.1202355465557,-0.0378626190522482,-12.529611460508,9.4073421137573,-12.3953637015502,4.9640758740934,4.59893764597564,0.501681494691184,-1.24242799120975,1.50847142357543,30.3208530991469,16.7338217396773,-12.4729227176822,-11.9969190576467,-19.28475569698,-0.848736677085981,12.2395493620888,7.25061590521182,12.1232761887168,7.70112071786116,15.9051511696725,8.32458335150932,5.28753254915955,-3.08908841593984,-0.46346162376085,-7.47265946262996,-23.5194260373064,11.621961497226,4.9505645996469,8.006619222263,-9.34674794506645,3.10747930543039,7.46703083932516,3.09292241355615,-2.04437270351173,11.8643960189274,-29.7269392794897,-33.4381114693488,-29.0728152478396
,3,12.8845100012322,3.0919957078886,5.11849978368082,10.1360680836669,1.86708768622702,14.1585679947721,4.63277867287979,10.5215068700672,14.6875040129135,-10.1340697963633,4.04674852658627,4.42631178694046,10.0241816305661,0.777217354039749,10.2934994280158,7.3986423966744,-0.996431294308422,1.75773440182229,5.52655274288918,31.1008825028994,18.2879599861226,-0.621470520974071,1.79375882464683,8.39097815574132,3.00338158058094,14.0949304873357,12.0587804664247,15.5222144838499,14.3215199647429,16.8297533739524,15.5251410944538,14.4009472859007,7.49012151971965,5.66297997223592,9.49762009097594,1.85803860360465,8.12883495238748,9.30633180126188,12.3860913454691,3.8839947285569,8.32756183063975,9.40249877552651,17.1726813055029,10.5690882594636,17.0588193543408,-15.1906898707903,-21.3329412295871,-15.8140345445245
,4,8.05071666653475,18.8209026474169,16.5361324577834,20.3106591793312,16.862981859219,14.3776994879872,8.50655979707062,15.5752847080621,20.559327176944,7.8658081057165,9.99816611581264,9.92213185609035,15.0174319715588,7.18085858831091,10.2479418056091,10.3677398604887,10.9502472325903,6.50616757395392,11.568249551904,19.3178484365189,16.0701171349019,1.81805722103036,15.7815001480594,19.1250285234155,17.7800540137068,23.4462562189829,13.9897802539335,18.7519567742875,16.0398008011571,18.871350694154,11.6356996571922,14.2762504611337,17.229246461502,14.6287103754967,13.4607274665314,14.8304302887491,12.9147541459415,18.0012188792725,12.690550188091,9.36114723595438,12.5757557241941,14.0071909489243,18.6505024575945,8.58247012099127,16.497465876625,-13.1129564852099,-10.7238066526634,-4.97449208018224
,5,-7.36134684960871,10.5656326770231,10.3965996029274,13.4921493513293,9.77663000197026,6.68600306521057,10.8567031279317,11.9938706430967,13.7088296954043,8.54206148299909,0.363364396113866,15.6031613359037,5.73810390924245,6.82953942373206,12.2676574851512,8.90908451502401,10.2023274416661,5.14428187044314,4.58644006138366,11.2152857019682,7.04479173835534,8.07038813007966,13.3945536326482,11.5252814392352,3.10071279677777,18.4423252393062,7.87718309940919,8.12905507311461,12.6475472608527,10.477341130163,10.0063821362392,10.4447208498395,11.6293682192363,11.7775213622062,10.0209194208355,5.99721603185117,12.1686382090902,18.1801077498476,11.9454735161571,7.20391606155226,3.94320973624326,14.3406020164284,11.0973140286187,5.16165288930642,14.3461690084432,-8.98534762267627,-3.92747271550979,-2.71649339734176
,6,0.244205508416599,8.29516553258782,8.04478984098478,8.93872361206104,7.689901878196,2.21930527251698,8.13887455339045,6.9578752901898,11.502817794576,9.98533604807653,6.1492728193889,1.96654481663791,3.29820068180106,9.53229844964881,7.77152827143618,13.0938169722476,6.41029812573379,8.5705917742539,8.45371932326179,10.029972334446,3.12343856575444,6.79673761531103,12.3506666595531,15.3250153651425,9.70575033425303,13.4807076554607,6.30090024150468,9.6397870577066,10.2297539789142,9.3963087389202,6.63334046125055,7.05130543998803,11.0022184974414,8.36651276396424,13.247925627712,9.07443137837072,10.1404876396091,10.4499022100445,5.7889234298118,12.8035187448286,14.939161418064,10.8916452358199,8.83376082302493,5.24398971977098,11.1356534517372,-2.05447484180695,3.20201241177801,-4.13423992347816
,7,-0.00351241178668715,-5.91718202450375,-0.148539720466943,4.0352755380527,2.03291991141941,-2.1237928950959,2.65289928422226,7.55331498175474,2.57465943053194,13.5238295325335,5.81546728441572,-2.1061379875573,-4.05131227018956,0.545388661473226,4.24302162862659,4.77231531255438,2.91330296611341,3.86860548158984,5.17552717237049,0.0446555363359948,5.43913748036266,7.86999086773903,6.75278191853431,1.33568091518009,-0.153604680588614,3.26786394801911,-2.36598462405163,2.12869150628921,1.20860779964369,-0.945877837606531,1.58404821491604,2.19249240649879,3.53350860933369,5.41966362346375,6.77942795581475,-2.57596846662091,-0.242268669019722,-2.03110594716054,-0.557682422836479,3.20277508689105,-0.307050272520428,1.53404011030943,3.53728641355974,1.0067503031587,4.46101190157515,-8.1945583309498,3.17320844430651,2.1162453241941
,8,10.805181837778,-1.89853964076156,-1.87306829914633,2.2643615524712,3.07079899872497,-3.66560968964041,5.56877663901105,1.14594148638753,3.04606653796782,14.227306847868,12.569056585322,2.17990611326968,-6.07552712859433,-1.64617990506122,-6.27651272586445,0.487694955462757,3.07255067806636,3.47949816855225,-4.19861790715095,-18.8349294248601,-2.95454763924954,6.60478601076829,3.82492815343721,-3.42542306015093,-0.979223306249878,-1.40733687452212,-1.67123335515225,-0.622607579808573,-2.18511275256424,2.70088220435173,2.18952050955977,1.09521007749299,3.67868143214855,1.22962766641194,2.5245993101571,4.4944647127395,-1.14644289563512,-1.49766227021337,-2.73720892633446,1.9385755355579,-1.32893297663668,-2.90458916524767,-3.59399760841643,1.990678523729,1.04694804253813,-0.306536308856266,0.558623932985029,0.0241052430810669
,9,14.5180804123447,1.25586779806508,1.04571438486437,-3.04042626082719,8.15894783056592,1.69620824034882,-1.26525274767573,-0.695832023722687,-7.08832040456855,16.9581552946693,19.695509621095,4.31516928750989,1.20793589337245,3.34046918884269,-2.32328589929875,5.01164142431662,3.28563742509232,4.03807526828587,-0.952261462158276,-22.584615185553,-6.51090241433303,10.4270023321806,4.05560377946495,6.56284325698834,3.20643156956976,-5.49818412594414,-0.550657957426665,-0.0699268467569709,-1.85547197821143,-3.04716591209126,0.193976894416664,-4.27032683234029,-1.32690106288555,-2.94464836086991,0.825506690383008,4.16894922628489,3.77455068815652,-1.61868998682166,-0.338454408414691,1.99119798035281,-0.494414620917269,0.00828055407055217,-5.09616564572661,-2.7551844064692,-5.71414246422955,7.0048093169662,3.56074621478911,8.85767898783615
,10,11.6699296420093,-6.40789479643263,-5.05537594629641,-10.5695315832463,2.91201115122021,-4.70779789859262,-3.06852224897375,-7.40535784402164,-15.541651592961,13.1916175368751,14.540664303252,2.41118673595065,-1.32838461016036,-2.81882659174426,-2.06476974370617,-7.57831615853684,0.291698069792801,-1.71240403795946,-4.68723218664491,-36.1281529500529,-11.6709904208419,1.60572376739674,-0.974174561377367,1.42135647665782,-3.80990936777926,-8.37428281173197,-10.3324921799476,-6.107149464332,-10.783125492444,-10.46889144755,-5.73242399166884,-3.84225266073372,-7.07056326640213,-6.25537924589116,-7.00604659683995,0.459909628400965,-3.9625004005602,-11.8494851770356,-10.7178501684602,-5.64895984103896,-7.08928272802586,-7.57106634601132,-10.0210165312355,-5.10949337174952,-6.012292860657,7.45247942701189,2.12919822040658,2.16542011874571
