,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-43.8000092017851,-58.0021743960515,-60.0886818290592,-76.0144737684618,-50.391878987683,-52.0454454296005,-74.3387633649099,-73.6805735135181,-81.0972138025763,-38.5474459248253,-33.2414643655356,-41.8722077066341,-57.1009627154863,4.10961375839725,-1.06461469656688,-11.7011480777505,-11.6766209237599,-11.8314069496514,-38.2700009764953,-9.31733438308356,-39.912166437357,-12.7423535027965,-50.9303215672521,-47.3733762740571,1.609229837778,-10.3012323470039,-14.4633458817361,-64.0915592379406,-43.3962873645742,-67.1270752841447,-4.04245140396324,-7.52620514526006,-30.4807856546549,-0.823610014242149,-32.6103728364915,4.95709916844953,-3.81600304555423,-9.03950288908482,-88.9944754195453,-21.0605363234017,-18.6407420195847,-77.2557059588999,-57.4204588089565,-9.86860854391671,-7.2528116369831,-17.0926843046927,-39.1879998112299,-19.9502675294602,17.929269846848,6.47092352367872,-10.0226825676946,0.631902318809807,-5.04933593684018,-53.3189793738002,-54.5444704972642,-43.7769383055702,-43.5821040329201,11.5952949887205,7.51890879989878,14.3568523861513,-16.0351363935938,-9.81354781106802,-14.6661154863759,-78.2420911644112,-57.7046808973446,-19.7570806775784,3.60382517452672,-36.0640813778209,-37.3314607411494,-3.06520699392513,-32.697196012422,-21.1470401820748,12.7714461949108,8.62283824325823,7.97271473611818,17.0449429465716,-48.1185351530012,20.5791510993549,-18.4388812794959,13.423548269614,-19.7966762769402,16.8816194964493,-15.2869872801757,-11.9006902983137,10.4570948035289,-6.24944233015049,-19.7182982763766,8.61851437606401,7.26615045273547,11.1093100630274,11.2000462697752,-13.7898940507207,24.7213387793636,6.41515881177338,2.51908463156906,-30.2714155205308
,2,-0.0411771169028725,12.7386808224196,15.0493643959348,-16.919540665629,-10.4353615450254,11.8029346628409,22.6305254753916,18.3264471767434,11.05513943592,14.3308311441688,21.7182948592163,14.795628647531,3.64187287995446,18.5646390332458,12.2137751498713,2.78102256261172,5.97757475484013,1.11569372179838,-1.86950424689758,3.52921676724782,-19.5428337057347,2.7532586137695,-7.58011603124032,-2.62606143607036,22.9764129433597,9.77309444301227,4.58157799826677,-7.48877449179963,-2.67804796128257,-6.51843043867575,7.67961325836313,10.968857283654,-14.117631663089,13.673338224984,12.8935941746931,24.4987213101276,17.1629810627719,7.08000107317685,-5.83148540939328,-2.8086217949367,-2.61562402416803,-4.1749290170892,4.88508940468182,7.81976450597176,7.86076564472478,-1.78403730356695,8.93889758818023,18.3169626848626,37.6075217783264,21.7926703487519,8.57267886783211,19.0055407183881,14.4216205738585,10.1382175480685,-33.6107129234042,-25.4143539856523,2.99699744811733,18.8656987851036,23.6640505823298,32.7612166005902,-7.9863946855744,8.24660430780568,6.54576778695628,0.519388118440475,-34.683727876889,0.146162467872273,10.3837607275009,10.3623471501442,-21.3677800244432,10.8635100005213,13.5879419576677,-1.86816701623866,31.0030151543669,25.4733145925375,17.349657269433,23.7946759192137,22.8364209390093,30.0536477731639,20.7059096346247,19.7640610523722,21.7456836379852,24.4155072801886,1.42372579120638,28.4224411268833,16.9754548024753,1.5573353701152,6.88911809972524,14.2078816782273,11.2629251878857,13.3330820763908,16.4408410778578,22.6757761258123,33.0685723539154,15.183731583259,16.3070968116172,12.0400406320978
,3,6.47006117377623,10.4147312337741,13.9305514213079,8.51418569604721,-8.2542387434014,9.71107977206248,26.6216779859869,21.3364525742809,14.5668325374245,15.5133740981446,19.2935929245259,12.8420801227285,7.30326999789349,19.0600093951907,8.08952024892005,10.4929162501194,9.74973952124856,11.0526397198232,11.8044818415265,4.19038744895079,7.51584604749769,2.19866355020622,8.33803185536499,6.47574682855748,15.177414142112,11.0626935712917,6.27462120563359,4.71362031273475,6.7820923649424,6.9150949940813,16.8885311805943,17.9597810070927,1.97969683888186,27.5905902945551,20.3447972955519,22.1949331451424,17.6379042950994,13.4070549143075,2.13816387597763,5.57146084203396,5.87576554732732,10.4030384721236,11.2903601085018,10.1674289883003,13.9154692592729,3.85046416451678,17.7137537696963,19.4128970472939,20.5620070219247,23.5207464821824,12.7856014137933,23.2853843043704,18.5889745069726,16.2483586026883,10.5435319805656,11.0420758674827,11.9685817740183,27.5377214552382,28.0691981824803,32.6037005708413,-5.60326614562018,11.3482087555303,4.41298666209514,5.09857300405747,7.77351803319198,8.28542056890637,15.8483456392587,12.1116884068215,16.7811422140621,16.9562820605315,12.7382947155729,13.7680270344754,22.8000823525263,23.0924388311905,18.929965455507,28.6884183427419,25.4674074895611,34.085306138616,18.3932594882654,24.6424551116133,24.8929963507771,26.4276005896691,24.1911045219385,24.9767799724677,20.4840775978764,11.8076214840144,11.6380417007358,14.0786076224481,19.1086801878023,17.0278985629807,17.5678508945221,15.503294796415,29.0468016889804,14.1846875162237,22.4551317001979,21.7256634447313
,4,16.649161903676,14.1780716081234,8.13364825652025,11.5156487073564,-4.18984097852444,18.3070282796234,26.9496775226899,21.709076711817,17.2006150657171,17.1089078231735,16.8455484543765,17.9232997646131,6.30055489255165,19.6233296531673,13.1152246796564,11.5428831316995,14.1422041253763,14.4594664987026,10.4850735914401,15.5280200895049,4.80606904702836,7.9035227868244,4.18792620557815,14.0555035080961,20.9970213911547,8.41384358839878,9.27258055071252,7.10144610504904,12.184778719562,6.18629851345941,14.7058203858414,16.1221358051189,23.3375893388366,17.7480625652834,14.8274963016238,17.6067330428896,21.702651959677,14.7550013548916,9.08395131556381,7.19943450394749,12.689119158229,14.0620892966281,17.4623888439692,19.8258292622504,13.4030108351426,9.18547530274827,16.0289545471724,22.8897920600189,21.2092122111508,20.2856265366627,14.2702721843207,18.7778764975747,22.7738789138311,20.2727411802307,19.6772886009985,12.818416536933,14.7025358400278,19.2084443865724,19.7294880626378,28.7580121746432,-13.6018278067045,7.86843878967193,6.14759321175006,4.89615323426005,10.016118694768,12.5367870011642,18.5562912943869,20.3321701027189,17.6710413706696,10.6585769885505,10.2895980552576,13.8710969225176,19.2405122568252,14.3547562354943,14.1138191926384,23.5725962252582,23.3727979514588,23.5040963403208,19.0818719577737,14.7521236915964,15.544757400633,16.3771639550287,21.9641092734273,22.4140669757999,12.1791217837217,15.934282542546,16.414583973738,16.8962610183653,14.3650357698234,14.8767370712944,13.0834429915967,16.7332619615645,29.0225655047366,13.3326962273027,15.2948766197678,11.9369088018657
,5,17.9463214240859,15.7757930309394,12.3802975529211,16.5674269850188,20.4058605653709,16.1405678137708,17.0543645003618,22.0565711249537,18.3381946433292,15.5231245725672,21.7328090840047,21.7054865063992,11.2676123546862,23.47396689788,20.9427586892875,17.1568851595903,12.8074751888571,12.2692437594983,8.12842876813011,15.6026330629456,14.0334941027604,15.8322530383939,11.0675216006075,6.08739202318566,17.3556377501181,15.1897817830522,9.4591965377831,12.7243204273327,10.9262891468779,15.8010256116131,22.3568574502879,15.154036540056,16.715731322035,19.8799581373141,20.0368596934386,19.7090119137438,10.2074971666043,15.015129902406,9.06624623781545,13.2967232554029,8.5417053104984,10.4272425514364,13.0428468848868,10.8751475317604,9.77593977491051,10.185280783031,18.8676616095008,22.8475852289412,18.2712422920931,20.1397588478694,14.8889453210604,15.7966975909385,16.1970499848921,14.5201860176521,11.4219286394282,12.0856578514758,8.56534120518518,21.2639554375573,17.4644125719597,21.0757522836766,15.3346379117211,11.2119320300035,12.7072370210508,9.86148201265587,9.56542771879595,6.86624373495852,12.5115219369709,14.9629653884476,15.3288484494215,8.80433123701278,14.6103751153451,16.6840869617959,15.7224186764925,16.5534854688231,12.4133251874109,22.7023765348677,16.3775855130762,17.8543686876128,15.4344589842776,15.1689706275974,16.555938440908,19.3676449585855,13.7046506024508,20.2737419090554,14.5611958716108,8.78660521294069,14.5027581831337,6.37414141693625,11.4123339610715,13.2395296158707,12.4656662952898,10.5639971916935,14.7528104044391,8.80399301159378,8.04240279163059,13.7039669196802
,6,8.37419425357803,14.0749622993148,16.588954027472,16.496037287644,20.1087987931915,14.5277782707162,17.8713819387322,19.2772268935933,19.8445954841063,13.9003414738454,19.4566863193404,17.5507175784987,8.32205350572985,15.8773299262421,21.6995736939989,18.0779000814796,19.0298937241605,16.3102193134669,10.386850195694,14.4296608087434,14.1519445038048,16.0196273700567,11.1407406765966,14.4981752553458,14.1615653029621,16.2631288056009,17.6263480311518,12.8411912021829,14.8984442074934,13.5100754785935,14.4461039026937,15.8833764417168,20.0170759735374,15.7444670381929,22.0921241209389,23.1414546266215,10.6212887697657,13.4613829010154,12.0460080833923,12.1008970464009,10.1262950374803,10.9221653156283,16.444808040239,16.999663486039,17.1919222085362,13.8282286155645,19.7359750922033,15.7341385160003,14.2164054347513,12.5564029779234,13.0363396349449,13.9203602085518,13.1301008548307,16.4452727215075,9.14782962907339,9.84245832438501,18.4242331646346,19.0864632756575,17.9332329423178,15.312333080552,23.2814691345775,11.7963409607783,13.944721973161,18.8503008983453,12.6382761644927,17.6409745969167,10.5950476264425,16.3500226135793,11.2279221828576,17.1649498288052,14.004070704872,11.1911163712625,13.2442599934857,13.5354277270271,16.3273184773734,15.3140664337152,17.0575689007401,18.3434460022627,9.89418896856569,11.3664614806739,7.19634976654197,12.4351232623912,16.737964255547,18.4368697150267,10.8979755476275,7.02798767962895,9.62205469537594,14.2416412909065,12.678885151337,7.72601049714422,12.7958517311949,8.32668600321585,16.5592989264974,14.3286800496262,11.9373482812471,7.45259995362176
,7,9.36872015296103,6.52499953154893,11.4916878639433,12.6126596720505,19.3909003431845,11.5336044803043,12.1937708828909,12.4619149309856,17.9475521342729,12.8814815732512,6.67999979595243,10.2394494396522,6.31081808289446,12.3820132860346,15.7141733496806,9.73511258411418,12.3722292803495,15.3293366631192,5.69165142610836,14.0441463461621,14.5348263784927,10.9619165331278,16.4965452384749,12.7881050678061,8.10212104072161,12.1162075943912,13.5934254200729,12.7075008660877,13.1408098975262,8.7065887194949,9.82051367414533,14.7702634185353,17.1287231308297,10.3591461291853,12.7513518015394,12.23379065886,10.3259420827594,13.4974668310574,8.91449835378899,12.7833475070511,13.5385765192177,11.101199434418,12.4063318318749,13.452782411975,10.6345428951308,3.19613535393728,12.703902206038,12.6961319955358,8.91354073684579,10.9125280811622,6.84627802082741,9.44048054558061,12.5322104839588,10.0744971559079,9.85788290234268,10.5434307606147,8.13469778654508,17.5139095251461,15.5362507257614,13.7282905563352,18.3096878490851,13.1427604194441,12.422233932838,11.8147933163618,11.650039697236,10.6434271722519,14.6185069506164,7.315121713591,17.4954801175609,14.5762816371316,9.38850472019931,15.5692862259039,10.5548393835707,15.02474682102,9.18599151828857,13.5910444769161,18.8414076987028,8.69805604514931,1.72633085535108,7.74745484629966,6.37974549136925,12.5339340415849,13.3167839582084,8.59506559182864,3.34492429542797,7.37305645110018,4.62381927979732,7.79623747294636,7.62325179931577,7.85091125641702,6.42230870193271,4.39376386147296,7.67951656940886,12.073695250805,7.1693877116295,5.96083914977771
,8,6.07926213267729,2.84059058408184,2.29558069170162,3.80052704883019,12.4821804803778,8.01287536161362,2.29890784660074,4.07134836218393,7.09846969943828,-2.30562342088615,-1.77176552314268,-1.06608851228521,5.69400620668739,11.7406212454639,8.96653236887596,7.37173272529844,5.1359810776039,6.67458123972119,12.2219068467803,3.22479381752146,7.00366836698595,4.27482242536826,3.9386699452034,9.33139774759093,1.21569307946447,1.70138328824214,6.51271186756821,11.4960945006833,4.33765254109312,8.95033812294878,5.6674603266265,3.59012317905399,10.4803032287427,1.64792146743548,4.9749051076742,1.12812942213441,7.90202498537064,12.1429239092254,8.79301991151169,6.92213090259338,8.48476835664496,9.11000161092034,11.7328175632147,5.25140792956608,10.7151724501955,8.44133358825729,6.02747907250341,8.05504804664997,-2.10742182337799,4.91745077295218,5.22933634237052,12.7800507782767,6.79613180724118,8.47555406977699,3.92855170790608,7.27297351826019,10.6589947500661,8.17382147042463,4.28024700386868,0.511901630471584,14.6134168972785,3.8566514919703,7.31117500791606,4.58358461158332,7.38723489598215,3.46308507815775,4.82943798186352,4.51034736488327,8.26846152763665,3.04881007485437,10.0038435932993,5.35868110919137,6.1561892254922,7.21991923276437,7.48654693280423,-1.6323321943546,7.91536802726296,5.72852430848343,7.21347513661476,4.86366859033205,7.61388752015046,0.657301115586051,4.82119289577895,3.89337053068994,-2.41905361737781,3.19819648146131,2.07178772448287,5.17540178417903,2.96247857353364,4.96705008218532,1.41593114904572,5.83666075435667,-0.31911929925991,5.67977448747115,2.45431937853755,9.34339464924597
,9,6.57726126084435,6.29163194230023,5.76764132502285,12.4696687198757,19.3095636789249,3.75982171918622,4.27364180806217,5.22215263714679,10.4866864122559,11.3709949836903,0.343698705536553,5.55748316976587,10.3989857822689,8.06068417673123,9.69745641544159,6.30849034339872,8.86232977962754,6.20714632341742,7.06737411669474,-0.313614982716899,4.02204157209417,14.8071240591407,16.0644357989568,13.5093943137799,8.1167483180925,8.59886523806199,11.0793404950837,9.73507643341509,6.97163310672113,4.76842091248909,3.25227929443645,-0.412001645313467,10.1695971475328,7.49026245570531,5.61325418975593,3.02325924637898,4.2544728445796,5.50311584470955,8.42114099022911,10.3395773305392,4.73436757936724,11.2743221860428,5.72530821672808,9.59035625342494,12.5189645972987,5.73607655406704,14.1129120653623,10.6427174940127,2.95986370583705,4.64404068651947,-3.38966058886035,6.47565309504989,7.26671129024362,10.5063420871056,6.25713413641461,3.02158840358061,3.86757768732059,1.71478188911897,9.43019923242537,0.0344075473631165,8.28716894423542,7.60974196070583,12.3089933717756,11.0885430227663,-1.800825541005,8.97944339828246,6.43517499735572,11.3400009979314,9.49081784075861,6.03503187342358,5.32461695594611,2.73140025602288,7.29392784183256,5.91269545377418,4.68525300265173,1.02220624770598,10.279924032523,-2.94224112642223,0.493268211066606,-4.9303614743194,3.67293744324979,2.73144533718005,1.9021357369129,-3.77857087339453,1.67232726498378,7.91928215867574,1.76399656375679,4.70970219238507,2.57242787991527,1.4514769053776,4.59820462699372,0.720809983230993,-0.0512067512549947,5.73835099978442,0.672793903228921,3.84339150496271
,10,-4.3656401849621,-2.00970285512221,-3.61602097131936,-2.61418585843239,5.81512313147869,1.6695664369563,-4.08658823788664,-2.30536793918145,-6.0296355013661,-8.41871376380095,-11.3049362071997,-3.21457221886612,-3.25933050632511,-6.22661434534803,0.556043796996164,2.64238209420364,2.14907848909752,0.887816631179248,2.37087516374595,2.95314486226107,4.51987166323215,5.35767311116706,2.15019826692969,1.91391703001455,-0.88919309389712,3.07001047203721,3.65327272381819,5.97096167702512,4.56622621561019,5.57501189449067,2.5534518522727,-2.96004490717678,3.42708127638707,-10.9367598789831,-5.79377466870119,-5.48292782108001,1.57766251325347,3.3164467038664,12.1474797665328,5.31663483606644,3.09647857706113,2.2237648225755,2.48608749198775,5.02780309128048,1.55651294246218,-1.30913191971558,1.65016966494295,-2.0982339701286,-3.12104522608934,-6.07184590234647,-3.36562123739986,3.45188946187045,-2.44235935414054,-2.16275608250089,6.14860289614535,2.72013089894881,-5.21626882511373,-3.76517920136848,-0.697103808694919,-5.28505853551815,8.66139064718072,-2.58725715068886,4.13267194421496,6.90457640100612,3.77946189049999,1.17845339858104,4.10920301136048,2.82787770965751,-0.200714756088928,-2.85297602403716,2.25738535739492,-4.19645838687802,2.03821016884922,-3.01088267410887,2.03614466486033,-5.85633072560722,6.85646739144249,-7.47743386699585,-0.450015545964561,-4.76754428026106,-2.4572177855307,-4.31051424121051,-5.01852439941922,-5.44803850320659,-8.39298625398214,-3.40858300318723,-3.57792112664811,-1.37064435306092,-2.82604816254343,-3.76195152060882,-6.39138803903143,-1.62389368952927,-2.20305386860855,-2.40743023621053,0.85652922565987,-2.19896678492296
