plate_well	sample	qubit_date	concentration-ng.uL	target-rna-in-rxn.ng	actual-rna-in-rxn.ng	vol-RNA-to-actual.uL	vol_0.5.ug-dT_primers_0.5.uL	primer_denature_vol.uL	vol_h2o_to_denature-vol.uL	vol_5x_rxn_buffer.uL	vol_25mM_MgCl2.ul	vol_10mM_dNTPs.uL	vol_RNasin.uL	vol_GoScript-RT.uL	vol_h2o_to_final-vol.uL	vol_final.uL
A1	201	2024-06-17_103708	142	200	200.00	1.41	1	10	7.59	8	2.4	2	1.25	2	14.35	40
A2	202	2024-06-17_103708	142	200	200.00	1.41	1	10	7.59	8	2.4	2	1.25	2	14.35	40
A3	203	2024-06-17_103708	128	200	200.00	1.56	1	10	7.44	8	2.4	2	1.25	2	14.35	40
A4	204	2024-06-17_103708	142	200	200.00	1.41	1	10	7.59	8	2.4	2	1.25	2	14.35	40
A5	205	2024-06-17_103708	81.2	200	200.00	2.46	1	10	6.54	8	2.4	2	1.25	2	14.35	40
A6	207	2024-06-17_103708	186	200	200.00	1.08	1	10	7.92	8	2.4	2	1.25	2	14.35	40
A7	208	2024-06-17_103708	122	200	200.00	1.64	1	10	7.36	8	2.4	2	1.25	2	14.35	40
A8	209	2024-06-17_103708	132	200	200.00	1.52	1	10	7.48	8	2.4	2	1.25	2	14.35	40
A9	213	2024-06-17_103708	4.8	200	43.20	9.00	1	10	0.00	8	2.4	2	1.25	2	14.35	40
A10	214	2024-06-17_103708	65.2	200	200.00	3.07	1	10	5.93	8	2.4	2	1.25	2	14.35	40
A11	216	2024-06-17_103708	91	200	200.00	2.20	1	10	6.80	8	2.4	2	1.25	2	14.35	40
A12	219	2024-06-17_103708	25.2	200	200.00	9.00	1	10	0.00	8	2.4	2	1.25	2	14.35	40
B1	227	2024-06-17_103708	4.8	200	43.20	9.00	1	10	0.00	8	2.4	2	1.25	2	14.35	40
B2	229	2024-06-17_103708	54	200	200.00	3.70	1	10	5.30	8	2.4	2	1.25	2	14.35	40
B3	230	2024-06-17_103708	60	200	200.00	3.33	1	10	5.67	8	2.4	2	1.25	2	14.35	40
B4	231	2024-06-17_103708	18.5	200	166.50	9.00	1	10	0.00	8	2.4	2	1.25	2	14.35	40
B5	232	2024-06-18_082413	106	200	200.00	1.89	1	10	7.11	8	2.4	2	1.25	2	14.35	40
B6	233	2024-06-18_082413	178	200	200.00	1.12	1	10	7.88	8	2.4	2	1.25	2	14.35	40
B7	235	2024-06-18_082413	134	200	200.00	1.49	1	10	7.51	8	2.4	2	1.25	2	14.35	40
B8	236	2024-06-18_082413	55.4	200	200.00	3.61	1	10	5.39	8	2.4	2	1.25	2	14.35	40
B9	237	2024-06-18_082413	63.8	200	200.00	3.13	1	10	5.87	8	2.4	2	1.25	2	14.35	40
B10	238	2024-06-18_082413	19	200	171.00	9.00	1	10	0.00	8	2.4	2	1.25	2	14.35	40
B11	239	2024-06-18_082413	132	200	200.00	1.52	1	10	7.48	8	2.4	2	1.25	2	14.35	40
B12	240	2024-06-18_082413	47.4	200	200.00	4.22	1	10	4.78	8	2.4	2	1.25	2	14.35	40
C1	241	2024-06-24_113250	128	200	200.00	1.56	1	10	7.44	8	2.4	2	1.25	2	14.35	40
C2	245	2024-06-24_113250	132	200	200.00	1.52	1	10	7.48	8	2.4	2	1.25	2	14.35	40
C3	248	2024-06-24_113250	120	200	200.00	1.67	1	10	7.33	8	2.4	2	1.25	2	14.35	40
